"PK","SK","breakEarlyPaidRate","breakEarlyPaidType","breakOvertimeDedcutType","breakOvertimeDeductRate","breakOvertimeQuotaMinute","breakOvertimeQuotaType","breakOvertimeType","breakPolicy","dependencies","employeeAllowSexList","employeeAllowTypeList","employeePercent","employeeType","employerPercent","hexColorList","holidayID","holidayName","holidayYear","id","income40Type","incomeExpenseType","incomeOrExpense","isActive","isBreakEarly","isBreakEarlyDiligent","isBreakEarlyPaid","isBreakOvertime","isBreakOvertimeDeduct","isBreakOvertimeDiligent","isCompound","isCountProbation","isExceedQuota","isLeaveAfterhand","isLeaveBeforehand","isLeaveCompound","isLeaveDiligent","isLeaveOnce","isLookupNotWorkday","isWorkInEarly","isWorkInEarlyDiligent","isWorkInEarlyPaid","isWorkInLate","isWorkInLateDeduct","isWorkInLateDiligent","isWorkOutEarly","isWorkOutEarlyDeduct","isWorkOutEarlyDiligent","isWorkOutLate","isWorkOutLateDiligent","isWorkOutLatePaid","isWorkOutLatePaidRate","isWorkOutLatePaidType","leaveAmountType","leaveBeforehandDay","leaveCompoundType","leaveConfigType","leaveQuotaList","maxBreakEarlyMinute","maxBreakOvertimeMinute","maxLeaveCompound","maxWorkInEarlyMinute","maxWorkInLateMinute","maxWorkInLateType","maxWorkOutEarlyMinute","maxWorkOutLateMinute","name","overtimeAfterMinute","overtimeBeforeMinute","overtimeDay","overtimeDayStatus","overtimeMonth","overtimeMonthStatus","overtimeMultiplyType","overtimeRoundFloor","overtimeRoundHour","overtimeRoundType","period1Day","periodCount","periodStart","resetLeaveDay","roundType","shiftColorIndex","shiftID","shiftName","status","Type","__typename","variableOrFixed","welfareID","welfareQuotaList","workDayPolicy","workInEarlyPaidRate","workInEarlyPaidType","workingDayCount","workingDayCountNewEmployee","workingHourDivisor","workInLateDeductRate","workInLateDeductType","workInLateQuotaMinute","workInLateQuotaType","workOutEarlyDeductRate","workOutEarlyDeductType","WorkOutEarlyQuotaMinute","WorkOutEarlyQuotaType","workOutEarlyType","workOutLateQuotaType","workType"
"LINKLOOK|OVERTIME","OVERTIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","59","{""HOLIDAY"":{""M"":{""OVERTIME"":{""N"":""3""},""WORK"":{""N"":""1""}}},""WORKDAY"":{""M"":{""OVERTIME"":{""N"":""1.5""},""WORK"":{""N"":""0""}}},""WEEKEND"":{""M"":{""OVERTIME"":{""N"":""3""},""WORK"":{""N"":""2""}}}}","ACTIVE","{""HOLIDAY"":{""M"":{""OVERTIME"":{""N"":""3""},""WORK"":{""N"":""1""}}},""WORKDAY"":{""M"":{""OVERTIME"":{""N"":""1.5""},""WORK"":{""N"":""0""}}},""WEEKEND"":{""M"":{""OVERTIME"":{""N"":""3""},""WORK"":{""N"":""1""}}}}","ACTIVE","MULTIPLY_PER_WAGE","ROUND","HALF_HOUR","ROUND","","","","","","","","","","OVERTIME","OvertimeConfig","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|WELFARE","LINKLOOK|WELFARE|WE001","","","","","","","","","","[{""S"":""MALE""},{""S"":""FEMALE""}]","[{""S"":""FULLTIME_MONTH""},{""S"":""FULLTIME_DAY""}]","","","","","","","","","I401","","","true","","","","","","","false","false","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ค่าอาหาร","","","","","","","","","","","","","","","NONE","","","","","","WelfareConfig","","WE001","[{""M"":{""quotaUOM"":{""S"":""BAHT_PER_MONTH""},""workMonthExperience"":{""N"":""0""},""quota"":{""N"":""4400""}}}]","","","","","","","","","","","","","","","","",""
"LINKLOOK|WELFARE","LINKLOOK|WELFARE|WE002","","","","","","","","","","[{""S"":""MALE""},{""S"":""FEMALE""}]","[{""S"":""FULLTIME_MONTH""},{""S"":""FULLTIME_DAY""}]","","","","","","","","","I401","","","true","","","","","","","false","false","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ค่าขนม","","","","","","","","","","","","","","","NONE","","","","","","WelfareConfig","","WE002","[{""M"":{""quotaUOM"":{""S"":""BAHT_PER_MONTH""},""workMonthExperience"":{""N"":""12""},""quota"":{""N"":""1000""}}}]","","","","","","","","","","","","","","","","",""
"DATABILITY|SHIFT_COLOR","SHIFT_COLOR","","","","","","","","","","","","","","","[{""S"":""#f98b8b""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SHIFT_COLOR","SHIFT_COLOR","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|DEFAULT_SHIFT","DEFAULT_SHIFT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","667cd6e9-432a-4202-baba-664e0a73e5ee","","","DEFAULT_SHIFT","DEFAULT_SHIFT","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|HOLIDAY","HOLIDAY|41dfe94a-edb2-465f-bb5a-2fa3f753f119","","","","","","","","","","","","","","","","41dfe94a-edb2-465f-bb5a-2fa3f753f119","แผนกขนส่ง","{""2022"":{""L"":[{""M"":{""date"":{""S"":""2022-04-06""},""description"":{""S"":""วันจักรี""}}},{""M"":{""date"":{""S"":""2022-05-02""},""description"":{""S"":""วันหยุดชดเชยวันแรงงานแห่งชาติ""}}},{""M"":{""date"":{""S"":""2022-05-04""},""description"":{""S"":""วันฉัตรมงคล""}}},{""M"":{""date"":{""S"":""2022-05-15""},""description"":{""S"":""วันวิสาขบูชา""}}},{""M"":{""date"":{""S"":""2022-10-13""},""description"":{""S"":""วันคล้ายวันสวรรคตของพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดชบรมนาถบพิตร""}}},{""M"":{""date"":{""S"":""2022-12-05""},""description"":{""S"":""วันคล้ายวันพระบรมราชสมภพ พระบาทสมเด็จพระบรมชนกาธิเบศรมหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร และวันพ่อแห่งชาติ""}}},{""M"":{""date"":{""S"":""2022-05-13""},""description"":{""S"":""วันพืชมงคล""}}},{""M"":{""date"":{""S"":""2022-05-16""},""description"":{""S"":""วันหยุดชดเชยวันวิสาขบูชา""}}},{""M"":{""date"":{""S"":""2022-06-03""},""description"":{""S"":""Queen Suthida's Birthday""}}},{""M"":{""date"":{""S"":""2022-07-29""},""description"":{""S"":""Bridge Public holiday""}}},{""M"":{""date"":{""S"":""2022-10-23""},""description"":{""S"":""วันปิยมหาราช""}}},{""M"":{""date"":{""S"":""2022-12-12""},""description"":{""S"":""วันหยุดชดเชยวันรัฐธรรมบูญ""}}},{""M"":{""date"":{""S"":""2022-12-25""},""description"":{""S"":""วันคริสต์มาส""}}},{""M"":{""date"":{""S"":""2022-12-30""},""description"":{""S"":""Bridge Public holiday""}}},{""M"":{""date"":{""S"":""2022-05-01""},""description"":{""S"":""วันแรงงานแห่งชาติ""}}},{""M"":{""date"":{""S"":""2022-07-13""},""description"":{""S"":""วันอาสาฬหบูชา""}}},{""M"":{""date"":{""S"":""2022-07-28""},""description"":{""S"":""วันเฉลิมพระชนมพรรษา สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร""}}},{""M"":{""date"":{""S"":""2022-08-12""},""description"":{""S"":""วันเฉลิมพระชนมพรรษา สมเด็จพระนางเจ้าฯ พระบรมราชินีนาถ""}}},{""M"":{""date"":{""S"":""2022-10-14""},""description"":{""S"":""Bridge Public holiday""}}},{""M"":{""date"":{""S"":""2022-01-03""},""description"":{""S"":""วันหยุดชดเชยวันขื้นปีใหม่""}}},{""M"":{""date"":{""S"":""2022-02-01""},""description"":{""S"":""วันตรุษจีน""}}},{""M"":{""date"":{""S"":""2022-04-13""},""description"":{""S"":""วันสงกรานต์""}}},{""M"":{""date"":{""S"":""2022-04-15""},""description"":{""S"":""วันสงกรานต์""}}},{""M"":{""date"":{""S"":""2022-07-14""},""description"":{""S"":""วันเข้าพรรษา""}}},{""M"":{""date"":{""S"":""2022-12-24""},""description"":{""S"":""วันคริสต์มาสอีฟ""}}},{""M"":{""date"":{""S"":""2022-12-31""},""description"":{""S"":""วันส่งท้ายปีเก่า""}}},{""M"":{""date"":{""S"":""2022-01-01""},""description"":{""S"":""วันขื้นปีใหม่""}}},{""M"":{""date"":{""S"":""2022-04-14""},""description"":{""S"":""วันสงกรานต์""}}},{""M"":{""date"":{""S"":""2022-07-15""},""description"":{""S"":""Bridge Public holiday""}}},{""M"":{""date"":{""S"":""2022-10-24""},""description"":{""S"":""วันหยุดชดเชยวันปิยมหาราช""}}},{""M"":{""date"":{""S"":""2022-12-10""},""description"":{""S"":""วันรัฐธรรมบูญ""}}},{""M"":{""date"":{""S"":""2022-03-18""},""description"":{""S"":""วันประจำบริษัท""}}}]}}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOLIDAY","Holiday","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|HOLIDAY","HOLIDAY|669b5f1b-e126-4194-af96-d8c6e8ddeb71","","","","","","","","","","","","","","","","669b5f1b-e126-4194-af96-d8c6e8ddeb71","สำนักงานใหญ่","{""2022"":{""L"":[{""M"":{""date"":{""S"":""2022-12-05""},""description"":{""S"":""วันคล้ายวันพระบรมราชสมภพ พระบาทสมเด็จพระบรมชนกาธิเบศรมหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร และวันพ่อแห่งชาติ""}}},{""M"":{""date"":{""S"":""2022-12-30""},""description"":{""S"":""วันสิ้นปี""}}},{""M"":{""date"":{""S"":""2022-02-01""},""description"":{""S"":""วันตรุษจีน""}}},{""M"":{""date"":{""S"":""2022-04-13""},""description"":{""S"":""วันสงกรานต์""}}},{""M"":{""date"":{""S"":""2022-04-15""},""description"":{""S"":""วันสงกรานต์""}}},{""M"":{""date"":{""S"":""2022-04-14""},""description"":{""S"":""วันสงกรานต์ (Beam Test)""}}},{""M"":{""date"":{""S"":""2022-01-01""},""description"":{""S"":""วันขึ้นปีใหม่""}}},{""M"":{""date"":{""S"":""2022-04-16""},""description"":{""S"":""วันหยุดต่อเนื่องสงกรานต์""}}},{""M"":{""date"":{""S"":""2022-06-03""},""description"":{""S"":""วันเฉลิมพระชนมพรรษา พระราชินี""}}},{""M"":{""date"":{""S"":""2022-06-04""},""description"":{""S"":""วันหยุดชดเชยวันแรงงานแห่งชาติ""}}},{""M"":{""date"":{""S"":""2022-07-28""},""description"":{""S"":""วันเฉลิมพระชนมพรรษา ร.10""}}},{""M"":{""date"":{""S"":""2022-08-12""},""description"":{""S"":""วันแม่แห่งชาติ""}}},{""M"":{""date"":{""S"":""2022-08-13""},""description"":{""S"":""ชดเชยวันปิยมหาราช""}}},{""M"":{""date"":{""S"":""2022-10-10""},""description"":{""S"":""วันออกพรรษา""}}},{""M"":{""date"":{""S"":""2022-12-31""},""description"":{""S"":""วันสิ้นปี""}}}]}}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOLIDAY","Holiday","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|HOLIDAY","HOLIDAY|6c828908-fccb-48a9-a92f-3098a29f34ab","","","","","","","","","","","","","","","","6c828908-fccb-48a9-a92f-3098a29f34ab","โรงงาน","{""2022"":{""L"":[{""M"":{""date"":{""S"":""2022-04-06""},""description"":{""S"":""วันจักรี""}}},{""M"":{""date"":{""S"":""2022-05-02""},""description"":{""S"":""วันหยุดชดเชยวันแรงงานแห่งชาติ""}}},{""M"":{""date"":{""S"":""2022-05-04""},""description"":{""S"":""วันฉัตรมงคล""}}},{""M"":{""date"":{""S"":""2022-05-15""},""description"":{""S"":""วันวิสาขบูชา""}}},{""M"":{""date"":{""S"":""2022-10-13""},""description"":{""S"":""วันคล้ายวันสวรรคตของพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดชบรมนาถบพิตร""}}},{""M"":{""date"":{""S"":""2022-12-05""},""description"":{""S"":""วันคล้ายวันพระบรมราชสมภพ พระบาทสมเด็จพระบรมชนกาธิเบศรมหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร และวันพ่อแห่งชาติ""}}},{""M"":{""date"":{""S"":""2022-05-13""},""description"":{""S"":""วันพืชมงคล""}}},{""M"":{""date"":{""S"":""2022-05-16""},""description"":{""S"":""วันหยุดชดเชยวันวิสาขบูชา""}}},{""M"":{""date"":{""S"":""2022-06-03""},""description"":{""S"":""Queen Suthida's Birthday""}}},{""M"":{""date"":{""S"":""2022-07-29""},""description"":{""S"":""Bridge Public holiday""}}},{""M"":{""date"":{""S"":""2022-10-23""},""description"":{""S"":""วันปิยมหาราช""}}},{""M"":{""date"":{""S"":""2022-12-12""},""description"":{""S"":""วันหยุดชดเชยวันรัฐธรรมบูญ""}}},{""M"":{""date"":{""S"":""2022-12-25""},""description"":{""S"":""วันคริสต์มาส""}}},{""M"":{""date"":{""S"":""2022-12-30""},""description"":{""S"":""Bridge Public holiday""}}},{""M"":{""date"":{""S"":""2022-05-01""},""description"":{""S"":""วันแรงงานแห่งชาติ""}}},{""M"":{""date"":{""S"":""2022-07-13""},""description"":{""S"":""วันอาสาฬหบูชา""}}},{""M"":{""date"":{""S"":""2022-07-28""},""description"":{""S"":""วันเฉลิมพระชนมพรรษา สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร""}}},{""M"":{""date"":{""S"":""2022-08-12""},""description"":{""S"":""วันเฉลิมพระชนมพรรษา สมเด็จพระนางเจ้าฯ พระบรมราชินีนาถ""}}},{""M"":{""date"":{""S"":""2022-10-14""},""description"":{""S"":""Bridge Public holiday""}}},{""M"":{""date"":{""S"":""2022-01-03""},""description"":{""S"":""วันหยุดชดเชยวันขื้นปีใหม่""}}},{""M"":{""date"":{""S"":""2022-02-01""},""description"":{""S"":""วันตรุษจีน""}}},{""M"":{""date"":{""S"":""2022-04-13""},""description"":{""S"":""วันสงกรานต์""}}},{""M"":{""date"":{""S"":""2022-04-15""},""description"":{""S"":""วันสงกรานต์""}}},{""M"":{""date"":{""S"":""2022-07-14""},""description"":{""S"":""วันเข้าพรรษา""}}},{""M"":{""date"":{""S"":""2022-12-24""},""description"":{""S"":""วันคริสต์มาสอีฟ""}}},{""M"":{""date"":{""S"":""2022-12-31""},""description"":{""S"":""วันส่งท้ายปีเก่า""}}},{""M"":{""date"":{""S"":""2022-01-01""},""description"":{""S"":""วันขื้นปีใหม่""}}},{""M"":{""date"":{""S"":""2022-04-14""},""description"":{""S"":""วันสงกรานต์""}}},{""M"":{""date"":{""S"":""2022-07-15""},""description"":{""S"":""Bridge Public holiday""}}},{""M"":{""date"":{""S"":""2022-02-03""},""description"":{""S"":""วันตรุษจีน (วันที่ 3)""}}},{""M"":{""date"":{""S"":""2022-10-24""},""description"":{""S"":""วันหยุดชดเชยวันปิยมหาราช""}}},{""M"":{""date"":{""S"":""2022-12-10""},""description"":{""S"":""วันรัฐธรรมบูญ""}}},{""M"":{""date"":{""S"":""2022-12-27""},""description"":{""S"":""""}}},{""M"":{""date"":{""S"":""2022-11-22""},""description"":{""S"":""วันหยุดเฉพาะโรงงาน""}}}]}}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOLIDAY","Holiday","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|HOLIDAY","HOLIDAY|83394cba-7216-455e-8800-81768a7ed11e","","","","","","","","","","","","","","","","83394cba-7216-455e-8800-81768a7ed11e","วันหยุดแผนกการตลาด","{""2022"":{""L"":[{""M"":{""date"":{""S"":""2022-11-23""},""description"":{""S"":""""}}},{""M"":{""date"":{""S"":""2022-12-23""},""description"":{""S"":""""}}}]}}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOLIDAY","Holiday","","","","","","","","","","","","","","","","","","","",""
"LINKLOOK|PAYROLL","PAYROLL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","TWO","26","01-01","FLOOR","","","","","PAYROLL","PayrollConfig","","","","","","","N30","N30","N8","","","","","","","","","","",""
